PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1630644,2022-23,00,1610612755,PHI,24.0,2,0,41.0,9,20,0.45,4,11,0.364,3,5,0.6,3,7,10,9,0,0,3,3,25
1630644,2024-25,00,1610612753,ORL,26.0,2,0,10.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,3,0,0,0,2,0
1630243,2021-22,00,1610612745,HOU,25.0,10,0,74.0,15,33,0.455,9,24,0.375,4,4,1.0,7,9,16,4,5,1,7,6,43
1630243,2022-23,00,1610612754,IND,26.0,7,0,70.0,7,29,0.241,2,15,0.133,5,5,1.0,8,9,17,6,2,5,7,4,21
1630243,2023-24,00,1610612753,ORL,27.0,14,0,165.0,14,38,0.368,3,17,0.176,9,12,0.75,3,17,20,18,7,5,7,15,40
1630243,2024-25,00,1610612753,ORL,28.0,31,2,430.0,56,147,0.381,22,77,0.286,18,21,0.857,26,28,54,38,31,10,22,38,152
1630602,2021-22,00,1610612747,LAL,23.0,2,0,21.0,1,7,0.143,0,3,0.0,0,0,0.0,0,2,2,0,0,0,1,0,2
1630602,2021-22,00,1610612737,ATL,23.0,3,2,83.0,9,25,0.36,6,15,0.4,5,6,0.833,1,13,14,4,2,0,0,7,29
1630602,2021-22,00,0,TOT,23.0,5,2,104.0,10,32,0.313,6,18,0.333,5,6,0.833,1,15,16,4,2,0,1,7,31
1630285,2021-22,00,1610612760,OKC,25.0,4,4,174.0,19,52,0.365,1,8,0.125,5,5,1.0,2,19,21,30,5,4,10,15,44
1630285,2023-24,00,1610612763,MEM,27.0,7,0,161.0,17,54,0.315,5,17,0.294,3,4,0.75,4,16,20,25,7,3,10,11,42
1630188,2020-21,00,1610612756,PHX,21.0,27,1,156.0,22,50,0.44,4,17,0.235,5,7,0.714,7,30,37,4,1,4,7,16,53
1630188,2021-22,00,1610612756,PHX,22.0,29,4,382.0,63,137,0.46,9,39,0.231,40,52,0.769,55,84,139,6,6,18,22,52,175
1630188,2021-22,00,1610612754,IND,22.0,22,4,543.0,113,213,0.531,31,83,0.373,38,50,0.76,46,122,168,18,9,23,20,44,295
1630188,2021-22,00,0,TOT,22.0,51,8,924.0,176,350,0.503,40,122,0.328,78,102,0.765,101,206,307,24,15,41,42,96,470
1630188,2022-23,00,1610612754,IND,23.0,68,31,1279.0,242,508,0.476,54,191,0.283,104,137,0.759,129,265,394,66,21,60,72,153,642
1630188,2023-24,00,1610612754,IND,24.0,61,14,1047.0,234,395,0.592,61,144,0.424,72,104,0.692,112,225,337,63,17,38,44,124,601
1630188,2024-25,00,1610612741,CHI,25.0,64,2,962.0,190,408,0.466,72,222,0.324,72,89,0.809,89,268,357,65,17,44,37,95,524
1629734,2019-20,00,1610612748,MIA,23.0,2,0,13.0,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,1,1,2
1626187,2019-20,00,1610612745,HOU,26.0,13,0,145.0,7,29,0.241,4,23,0.174,9,14,0.643,1,9,10,2,2,0,5,22,27
1630234,2020-21,00,1610612756,PHX,22.0,15,0,47.0,3,12,0.25,2,9,0.222,1,2,0.5,2,8,10,6,0,1,3,2,9
201146,2007-08,00,1610612749,MIL,20.0,66,49,1647.0,219,520,0.421,6,21,0.286,122,145,0.841,106,238,344,55,36,56,90,153,566
201146,2008-09,00,1610612751,NJN,21.0,61,52,1421.0,191,500,0.382,48,140,0.343,95,123,0.772,67,259,326,60,29,36,70,157,525
201146,2009-10,00,1610612751,NJN,22.0,52,51,1655.0,227,563,0.403,15,41,0.366,154,193,0.798,115,257,372,47,37,52,77,170,623
201146,2010-11,00,1610612764,WAS,23.0,63,11,1112.0,145,347,0.418,3,13,0.231,62,91,0.681,79,169,248,25,27,32,51,115,355
201146,2011-12,00,1610612742,DAL,24.0,30,0,203.0,31,82,0.378,3,10,0.3,14,21,0.667,12,37,49,5,7,8,14,23,79
1629730,2019-20,00,1610612762,UTA,22.0,20,0,161.0,20,43,0.465,3,17,0.176,19,23,0.826,3,17,20,5,1,1,8,10,62
1629730,2020-21,00,1610612755,PHI,23.0,14,0,68.0,9,18,0.5,2,7,0.286,14,19,0.737,1,10,11,6,2,0,4,8,34
1629730,2021-22,00,1610612743,DEN,24.0,3,0,29.0,1,2,0.5,1,2,0.5,3,4,0.75,1,3,4,4,1,0,0,3,6
1629730,2021-22,00,1610612749,MIL,24.0,2,0,42.0,5,7,0.714,3,3,1.0,2,3,0.667,2,2,4,6,3,0,1,2,15
1629730,2021-22,00,0,TOT,24.0,5,0,71.0,6,9,0.667,4,5,0.8,5,7,0.714,3,5,8,10,4,0,1,5,21
1628391,2017-18,00,1610612749,MIL,22.0,22,0,71.0,9,16,0.563,2,5,0.4,1,2,0.5,2,8,10,3,3,1,4,7,21
1628391,2018-19,00,1610612749,MIL,23.0,48,3,882.0,104,251,0.414,46,127,0.362,26,47,0.553,45,177,222,52,18,20,32,85,280
1628391,2019-20,00,1610612749,MIL,24.0,37,1,363.0,52,132,0.394,18,73,0.247,11,18,0.611,12,80,92,25,3,5,19,33,133
1628391,2020-21,00,1610612749,MIL,25.0,12,0,105.0,16,43,0.372,10,28,0.357,1,2,0.5,3,22,25,3,1,4,4,13,43
1628391,2020-21,00,1610612745,HOU,25.0,23,1,328.0,52,125,0.416,20,59,0.339,16,23,0.696,17,70,87,20,10,12,18,31,140
1628391,2020-21,00,0,TOT,25.0,35,1,433.0,68,168,0.405,30,87,0.345,17,25,0.68,20,92,112,23,11,16,22,44,183
1628391,2021-22,00,1610612761,TOR,26.0,4,1,54.0,11,15,0.733,0,2,0.0,8,10,0.8,1,15,16,5,5,1,2,6,30
1628391,2023-24,00,1610612755,PHI,28.0,2,0,15.0,4,6,0.667,2,2,1.0,0,0,0.0,1,1,2,2,0,2,0,1,10
1629111,2021-22,00,1610612759,SAS,26.0,54,1,589.0,101,204,0.495,29,89,0.326,34,41,0.829,63,75,138,45,10,14,31,53,265
1629111,2022-23,00,1610612756,PHX,27.0,69,4,979.0,178,337,0.528,21,84,0.25,79,105,0.752,119,161,280,68,16,30,59,126,456
1629111,2023-24,00,1610612745,HOU,28.0,56,3,764.0,106,206,0.515,10,40,0.25,52,65,0.8,88,84,172,65,20,33,31,74,274
1629111,2024-25,00,1610612745,HOU,29.0,42,3,500.0,81,152,0.533,11,26,0.423,27,40,0.675,56,81,137,37,13,10,21,49,200
1629091,2020-21,00,1610612749,MIL,26.0,1,0,32.0,6,13,0.462,1,5,0.2,3,3,1.0,2,4,6,3,0,1,4,4,16
204098,2015-16,00,1610612763,MEM,24.0,14,0,244.0,32,77,0.416,9,23,0.391,7,14,0.5,3,28,31,22,13,3,15,25,80
204098,2017-18,00,1610612749,MIL,26.0,6,0,21.0,1,6,0.167,0,2,0.0,1,2,0.5,1,0,1,4,1,0,2,4,3
1629045,2018-19,00,1610612749,MIL,23.0,8,2,98.0,13,39,0.333,5,21,0.238,8,9,0.889,8,22,30,3,5,1,3,3,39
1629155,2018-19,00,1610612765,DET,26.0,1,0,4.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0
1629083,2021-22,00,1610612766,CHA,24.0,2,0,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
1629667,2019-20,00,1610612766,CHA,22.0,16,0,293.0,33,70,0.471,9,24,0.375,14,17,0.824,15,50,65,13,8,3,11,36,89
1629667,2020-21,00,1610612766,CHA,23.0,47,18,904.0,133,284,0.468,35,105,0.333,45,64,0.703,45,124,169,53,28,19,45,95,346
1629667,2021-22,00,1610612766,CHA,24.0,55,2,895.0,123,254,0.484,41,108,0.38,53,72,0.736,37,133,170,58,26,22,36,93,340
1629667,2022-23,00,1610612766,CHA,25.0,56,21,1494.0,221,494,0.447,65,202,0.322,88,104,0.846,44,226,270,111,66,29,80,158,595
1629667,2022-23,00,1610612755,PHI,25.0,24,3,419.0,60,123,0.488,12,30,0.4,28,34,0.824,19,57,76,19,17,5,13,51,160
1629667,2022-23,00,0,TOT,25.0,80,24,1913.0,281,617,0.455,77,232,0.332,116,138,0.841,63,283,346,130,83,34,93,209,755
1629667,2023-24,00,1610612761,TOR,26.0,50,1,538.0,65,189,0.344,12,71,0.169,27,37,0.73,18,61,79,37,19,6,30,52,169
1629667,2024-25,00,1610612764,WAS,27.0,4,0,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0
1628439,2017-18,00,1610612752,NYK,23.0,18,0,239.0,33,72,0.458,2,9,0.222,12,18,0.667,10,31,41,16,2,4,16,45,80
1628439,2018-19,00,1610612752,NYK,24.0,3,0,32.0,4,8,0.5,0,0,0.0,4,5,0.8,2,5,7,2,1,3,1,5,12
1628998,2019-20,00,1610612766,CHA,24.0,48,3,903.0,89,207,0.43,18,77,0.234,42,65,0.646,38,120,158,95,39,9,44,78,238
1628998,2020-21,00,1610612766,CHA,25.0,52,10,849.0,83,188,0.441,16,58,0.276,25,43,0.581,52,109,161,86,37,12,40,52,207
1628998,2021-22,00,1610612766,CHA,26.0,71,11,1866.0,204,423,0.482,61,159,0.384,75,107,0.701,82,203,285,179,88,32,61,116,544
1628998,2022-23,00,1610612766,CHA,27.0,7,0,134.0,14,36,0.389,3,14,0.214,4,7,0.571,8,16,24,11,4,1,2,13,35
1628998,2023-24,00,1610612766,CHA,28.0,28,22,753.0,82,215,0.381,27,86,0.314,20,33,0.606,19,90,109,104,32,18,44,48,211
1628998,2024-25,00,1610612766,CHA,29.0,39,8,967.0,116,268,0.433,40,124,0.323,34,49,0.694,40,136,176,89,43,26,42,72,306
1628998,2024-25,00,1610612756,PHX,29.0,14,0,206.0,20,57,0.351,3,27,0.111,9,12,0.75,13,35,48,16,13,6,9,23,52
1628998,2024-25,00,0,TOT,29.0,53,8,1173.0,136,325,0.418,43,151,0.285,43,61,0.705,53,171,224,105,56,32,51,95,358
1629147,2018-19,00,1610612766,CHA,23.0,1,0,8.0,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2
1629147,2019-20,00,1610612766,CHA,24.0,4,0,33.0,0,7,0.0,0,4,0.0,2,2,1.0,0,0,0,1,4,0,2,2,2
1629122,2018-19,00,1610612766,CHA,24.0,2,0,17.0,3,9,0.333,0,4,0.0,0,0,0.0,0,3,3,2,0,0,0,0,6
1629122,2019-20,00,1610612739,CLE,25.0,1,0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
1629606,2020-21,00,1610612753,ORL,24.0,7,0,101.0,13,28,0.464,5,15,0.333,12,13,0.923,6,8,14,5,3,3,2,8,43
1628407,2017-18,00,1610612766,CHA,22.0,53,6,713.0,72,192,0.375,11,43,0.256,20,25,0.8,4,120,124,38,16,2,23,46,175
1628407,2018-19,00,1610612766,CHA,23.0,43,13,759.0,122,257,0.475,38,87,0.437,34,46,0.739,8,81,89,47,12,5,18,72,316
1628407,2019-20,00,1610612766,CHA,24.0,39,11,687.0,85,244,0.348,19,67,0.284,35,53,0.66,15,85,100,52,23,2,37,52,224
1628407,2020-21,00,1610612753,ORL,25.0,72,50,1853.0,292,726,0.402,59,207,0.285,145,176,0.824,31,193,224,93,45,5,46,103,788
1628970,2018-19,00,1610612766,CHA,21.0,80,25,1696.0,237,511,0.464,65,200,0.325,58,77,0.753,67,256,323,95,55,49,50,111,597
1628970,2019-20,00,1610612766,CHA,22.0,65,64,1996.0,319,753,0.424,99,300,0.33,106,131,0.809,88,274,362,114,40,48,95,132,843
1628970,2020-21,00,1610612766,CHA,23.0,66,19,1932.0,313,622,0.503,116,290,0.4,98,113,0.867,81,316,397,147,44,52,106,143,840
1628970,2021-22,00,1610612766,CHA,24.0,80,80,2837.0,596,1214,0.491,154,465,0.331,267,333,0.802,90,469,559,300,74,67,150,193,1613
1628970,2023-24,00,1610612766,CHA,26.0,69,67,2581.0,559,1210,0.462,157,450,0.349,174,211,0.825,71,434,505,231,65,33,138,118,1449
1628970,2024-25,00,1610612766,CHA,27.0,64,64,2029.0,469,1089,0.431,141,450,0.313,221,254,0.87,72,409,481,248,44,45,136,93,1300
1628984,2018-19,00,1610612766,CHA,24.0,46,3,676.0,74,216,0.343,34,121,0.281,35,46,0.761,10,53,63,121,23,2,30,48,217
1628984,2019-20,00,1610612766,CHA,25.0,63,53,2211.0,368,963,0.382,218,585,0.373,191,233,0.82,42,170,212,471,62,15,181,115,1145
1628984,2020-21,00,1610612766,CHA,26.0,55,44,1659.0,252,669,0.377,179,477,0.375,133,158,0.842,22,126,148,295,48,6,84,77,816
1628984,2021-22,00,1610612740,NOP,27.0,76,63,2162.0,296,815,0.363,192,563,0.341,118,140,0.843,37,140,177,316,71,12,105,95,902
1628984,2022-23,00,1610612740,NOP,28.0,53,0,811.0,85,231,0.368,66,190,0.347,44,59,0.746,12,60,72,116,30,10,27,48,280
1628984,2022-23,00,1610612759,SAS,28.0,20,8,527.0,76,200,0.38,53,148,0.358,54,72,0.75,7,43,50,80,15,6,26,31,259
1628984,2022-23,00,0,TOT,28.0,73,8,1338.0,161,431,0.374,119,338,0.352,98,131,0.748,19,103,122,196,45,16,53,79,539
1628984,2023-24,00,1610612759,SAS,29.0,23,0,313.0,38,108,0.352,25,83,0.301,13,16,0.813,5,31,36,49,9,2,17,14,114
1641790,2024-25,00,1610612743,DEN,23.0,19,0,66.0,14,24,0.583,2,8,0.25,3,4,0.75,6,16,22,4,0,4,2,11,33
1631124,2023-24,00,1610612743,DEN,22.0,50,0,545.0,82,222,0.369,41,138,0.297,22,31,0.71,5,56,61,47,17,7,23,54,227
1631124,2024-25,00,1610612743,DEN,23.0,65,4,1384.0,210,486,0.432,94,269,0.349,74,90,0.822,17,125,142,83,39,16,57,151,588
1641816,2023-24,00,1610612743,DEN,24.0,18,0,48.0,8,20,0.4,4,14,0.286,0,0,0.0,1,8,9,2,1,0,2,10,20
1641816,2024-25,00,1610612743,DEN,25.0,51,2,400.0,45,120,0.375,23,74,0.311,21,28,0.75,25,53,78,20,10,6,14,44,134
1629618,2023-24,00,1610612743,DEN,24.0,27,0,122.0,15,35,0.429,9,25,0.36,3,4,0.75,1,13,14,21,4,0,9,13,42
1629618,2024-25,00,1610612743,DEN,25.0,49,4,666.0,77,180,0.428,40,101,0.396,6,8,0.75,15,56,71,107,19,5,24,38,200
1641725,2024-25,00,1610612743,DEN,22.0,24,0,117.0,13,41,0.317,3,17,0.176,3,4,0.75,1,11,12,11,2,1,5,10,32
1642443,2024-25,00,1610612741,CHI,24.0,6,0,30.0,4,5,0.8,1,2,0.5,2,2,1.0,1,2,3,6,0,0,1,2,11
