PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TEAM_ID
1641816,00,,69,2,447,53,140,0.378571428571,27,88,0.306818181818,21,28,0.75,26,61,87,22,11,6,16,54,154,0.0
1629618,00,,76,4,788,92,215,0.427906976744,49,126,0.388888888888,9,12,0.75,16,69,85,128,23,5,33,51,242,0.0
1641725,00,,24,0,117,13,41,0.317073170731,3,17,0.176470588235,3,4,0.75,1,11,12,11,2,1,5,10,32,0.0
1642443,00,,6,0,29,4,5,0.8,1,2,0.5,2,2,1.0,1,2,3,6,0,0,1,2,11,0.0
1642347,00,,75,11,1466,204,504,0.404761904761,72,223,0.322869955156,53,69,0.768115942028,30,85,115,316,58,10,117,158,533,0.0
1630534,00,,201,95,4589,609,1353,0.450110864745,244,692,0.352601156069,127,173,0.734104046242,178,401,579,248,121,89,159,341,1589,0.0
1642382,00,,32,0,246,43,97,0.443298969072,22,66,0.333333333333,14,18,0.777777777777,17,37,54,14,5,21,7,22,122,0.0
1642266,00,,52,18,1103,159,393,0.404580152671,65,186,0.349462365591,66,83,0.795180722891,59,101,160,81,43,10,50,95,449,0.0
1641711,00,,114,71,2855,454,1092,0.41575091575,202,567,0.356261022927,177,206,0.85922330097,71,254,325,166,82,12,133,207,1287,0.0
1630618,00,,8,0,68,4,15,0.266666666666,1,7,0.142857142857,5,6,0.833333333333,2,6,8,6,3,0,5,4,14,0.0
1642419,00,,59,10,1041,149,347,0.42939481268,105,259,0.405405405405,16,18,0.888888888888,37,121,158,53,17,10,27,92,419,0.0
1642279,00,,7,0,32,2,5,0.4,0,0,0.0,1,2,0.5,4,4,8,2,0,1,2,5,5,0.0
1631241,00,,22,6,403,55,124,0.443548387096,10,42,0.238095238095,33,36,0.916666666666,16,54,70,40,10,4,25,28,153,0.0
1642367,00,,63,18,1285,156,356,0.438202247191,17,70,0.242857142857,60,82,0.731707317073,109,202,311,146,55,34,70,136,389,0.0
1627883,00,,32,0,395,52,130,0.4,20,54,0.37037037037,31,46,0.673913043478,24,48,72,11,14,3,15,49,155,0.0
1626253,00,,33,1,414,34,90,0.377777777777,15,46,0.326086956521,18,24,0.75,8,30,38,19,10,10,6,52,101,0.0
1627767,00,,183,3,2184,401,673,0.595839524517,2,7,0.285714285714,154,199,0.773869346733,179,580,759,78,56,73,117,273,958,0.0
203923,00,,95,0,812,77,210,0.366666666666,38,137,0.277372262773,27,48,0.5625,19,77,96,28,24,5,15,58,219,0.0
1626188,00,,188,29,2652,479,1039,0.461020211742,180,441,0.408163265306,62,78,0.794871794871,46,268,314,298,52,7,135,201,1200,0.0
202728,00,0,3,0,9.0,0,1,0.0,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,0,0,
