GAME_ID,GAME_DATE,SEASON_ID
1521300040,2013-07-18,2013-14
1521300046,2013-07-18,2013-14
1521300047,2013-07-18,2013-14
1521300042,2013-07-18,2013-14
1521300041,2013-07-18,2013-14
1521300045,2013-07-18,2013-14
1521300044,2013-07-18,2013-14
1521300043,2013-07-18,2013-14
1521300049,2013-07-19,2013-14
1521300050,2013-07-19,2013-14
1521300053,2013-07-19,2013-14
1521300052,2013-07-19,2013-14
1521300048,2013-07-19,2013-14
1521300051,2013-07-19,2013-14
1521300054,2013-07-19,2013-14
1521300055,2013-07-20,2013-14
1521300058,2013-07-20,2013-14
1521300056,2013-07-20,2013-14
1521300057,2013-07-20,2013-14
1521300060,2013-07-21,2013-14
1521300059,2013-07-21,2013-14
1521300061,2013-07-22,2013-14
1521400003,2014-07-11,2014-15
1521400006,2014-07-11,2014-15
1521400001,2014-07-11,2014-15
1521400004,2014-07-11,2014-15
1521400002,2014-07-11,2014-15
1521400005,2014-07-11,2014-15
1521400008,2014-07-12,2014-15
1521400012,2014-07-12,2014-15
1521400010,2014-07-12,2014-15
1521400009,2014-07-12,2014-15
1521400011,2014-07-12,2014-15
1521400013,2014-07-12,2014-15
1521400007,2014-07-12,2014-15
1521400014,2014-07-12,2014-15
1521400018,2014-07-13,2014-15
1521400015,2014-07-13,2014-15
1521400016,2014-07-13,2014-15
1521400019,2014-07-13,2014-15
1521400020,2014-07-13,2014-15
1521400021,2014-07-13,2014-15
1521400022,2014-07-13,2014-15
1521400017,2014-07-13,2014-15
1521400027,2014-07-14,2014-15
1521400026,2014-07-14,2014-15
1521400025,2014-07-14,2014-15
1521400029,2014-07-14,2014-15
1521400028,2014-07-14,2014-15
1521400030,2014-07-14,2014-15
1521400023,2014-07-14,2014-15
1521400024,2014-07-14,2014-15
1521400031,2014-07-15,2014-15
1521400032,2014-07-15,2014-15
1521400036,2014-07-15,2014-15
1521400033,2014-07-15,2014-15
1521400034,2014-07-15,2014-15
1521400035,2014-07-15,2014-15
1521400039,2014-07-16,2014-15
1521400038,2014-07-16,2014-15
1521400043,2014-07-16,2014-15
1521400042,2014-07-16,2014-15
