gameId,GAME_DATE,players_w_gp,players,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGM_per_game,FGA_per_game,FG3M_per_game,FG3A_per_game,FTM_per_game,FTA_per_game,OREB_per_game,DREB_per_game,REB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game
1521000035,2010-07-15,3,"Reggie Williams (GSW), Earl Clark (PHX), Zabian Dowdell (PHX)",416,76,6493,907,2129,249,708,289,413,269,850,1119,399,161,132,294,520,2352,2.1802884615384617,5.117788461538462,0.5985576923076923,1.7019230769230769,0.6947115384615384,0.9927884615384616,0.6466346153846154,2.043269230769231,2.6899038461538463,0.9591346153846154,0.3870192307692308,0.3173076923076923,0.7067307692307693,1.25,5.653846153846154
1521000036,2010-07-15,8,"Cartier Martin (WAS), Trevor Booker (WAS), JaVale McGee (WAS), Lester Hudson (WAS), John Wall (WAS), Ian Mahinmi (DAL), Dominique Jones (DAL), Rodrigue Beaubois (DAL)",2969,1263,62285,10545,21933,1049,3291,5094,7310,3863,9256,13119,7597,2276,2306,4688,6270,27233,3.5517009093971033,7.3873358033007746,0.35331761535870665,1.108454024924217,1.7157292017514314,2.462108454024924,1.3011114853486023,3.117547995958235,4.418659481306837,2.5587739979791175,0.7665880767935331,0.7766924890535534,1.578982822499158,2.1118221623442235,9.172448635904345
1521000037,2010-07-15,3,"Jordan Crawford (ATL), Jeff Teague (ATL), Larry Sanders (MIL)",1274,809,32924,5413,12282,1031,2981,2928,3595,897,3073,3970,5520,1250,718,2506,2563,14785,4.248822605965463,9.640502354788069,0.8092621664050236,2.339874411302983,2.2982731554160125,2.8218210361067504,0.7040816326530612,2.412087912087912,3.1161695447409734,4.332810047095761,0.9811616954474097,0.5635792778649922,1.967032967032967,2.011773940345369,11.605180533751962
1521000038,2010-07-15,7,"Al-Farouq Aminu (LAC), DeAndre Jordan (LAC), Eric Bledsoe (LAC), Dante Cunningham (POR), Luke Babbitt (POR), Armon Johnson (POR), Patty Mills (POR)",4446,2191,102857,14483,30168,3559,9816,5935,8997,5689,16624,22313,8214,3365,2640,5480,8079,38460,3.2575348627980207,6.7854251012145745,0.8004948268106162,2.2078272604588394,1.3349077822762034,2.02361673414305,1.2795771479982005,3.7390913180386867,5.018668466036887,1.8475033738191633,0.7568600989653621,0.5937921727395412,1.2325686009896537,1.8171390013495277,8.650472334682862
1521000039,2010-07-15,5,"DeMarre Carroll (MEM), Darrell Arthur (MEM), Hasheem Thabeet (MEM), Sam Young (MEM), Greivis Vasquez (MEM)",1628,594,33542,4664,10766,1269,3587,1768,2330,1333,4028,5361,3123,1119,549,1770,3251,12365,2.864864864864865,6.613022113022113,0.7794840294840295,2.2033169533169534,1.085995085995086,1.4312039312039313,0.8187960687960688,2.4742014742014744,3.292997542997543,1.9183046683046683,0.6873464373464373,0.33722358722358725,1.0872235872235871,1.996928746928747,7.5952088452088455
1521000040,2010-07-16,5,"DaJuan Summers (DET), Greg Monroe (DET), Henry Walker (NYK), Toney Douglas (NYK), Landry Fields (NYK)",1395,675,32551,5256,11029,651,1894,2304,3229,2262,5211,7473,2685,1273,468,1940,2697,13467,3.767741935483871,7.9060931899641576,0.4666666666666667,1.357706093189964,1.6516129032258065,2.314695340501792,1.621505376344086,3.735483870967742,5.356989247311828,1.924731182795699,0.9125448028673835,0.33548387096774196,1.3906810035842294,1.9333333333333333,9.653763440860216
1521000041,2010-07-16,9,"Sonny Weems (TOR), Ed Davis (TOR), Joey Dorsey (TOR), DeMar DeRozan (TOR), Solomon Alabi (TOR), Omri Casspi (SAC), Hassan Whiteside (SAC), DeMarcus Cousins (SAC), Donte Greene (SAC)",3870,2305,100875,19931,41117,1565,4847,12291,16302,6375,18435,24810,8519,3095,3048,6558,9326,53718,5.150129198966408,10.62454780361757,0.4043927648578811,1.2524547803617572,3.175968992248062,4.212403100775194,1.6472868217054264,4.763565891472868,6.410852713178294,2.2012919896640826,0.7997416020671835,0.7875968992248062,1.6945736434108527,2.4098191214470286,13.88062015503876
1521000042,2010-07-16,6,"Cartier Martin (WAS), Trevor Booker (WAS), JaVale McGee (WAS), Lester Hudson (WAS), John Wall (WAS), Quincy Pondexter (NOH)",2532,1136,54713,9526,20026,1166,3526,4402,6160,3071,7666,10737,7062,1920,1874,4056,4843,24620,3.7622432859399684,7.909162717219589,0.46050552922590837,1.3925750394944707,1.7385466034755135,2.432859399684044,1.212875197472354,3.027646129541864,4.240521327014218,2.7890995260663507,0.7582938388625592,0.7401263823064771,1.6018957345971565,1.9127172195892574,9.723538704581358
1521000043,2010-07-16,5,"Danny Green (CLE), JJ Hickson (CLE), Christian Eyenga (CLE), James Johnson (CHI), John Lucas III (CHI)",2157,1201,48605,6921,15343,2109,5669,2217,3288,2152,6653,8805,3591,1734,1518,2599,4124,18168,3.208623087621697,7.113120074177098,0.9777468706536857,2.628187297171998,1.027816411682893,1.5243393602225312,0.9976819656930923,3.084376448771442,4.082058414464534,1.6648122392211404,0.803894297635605,0.7037552155771906,1.2049142327306444,1.9119146963375058,8.422809457579973
1521000044,2010-07-16,6,"DeMarre Carroll (MEM), Darrell Arthur (MEM), Hasheem Thabeet (MEM), Greivis Vasquez (MEM), Sam Young (MEM), Wayne Ellington (MIN)",2322,799,48258,6707,15759,2419,6600,2217,2865,1538,5307,6845,3901,1511,610,2204,4063,18050,2.888458225667528,6.786821705426356,1.0417743324720068,2.842377260981912,0.9547803617571059,1.2338501291989663,0.6623600344530577,2.285529715762274,2.9478897502153316,1.6800172265288544,0.6507321274763135,0.26270456503014644,0.9491817398794143,1.7497846683893195,7.7734711455641685
1521000045,2010-07-16,2,"Larry Sanders (MIL), Garret Siler (MIA)",259,113,4736,686,1426,0,5,193,351,491,882,1373,177,153,433,234,686,1565,2.6486486486486487,5.505791505791506,0,0.019305019305019305,0.7451737451737451,1.3552123552123552,1.8957528957528957,3.4054054054054053,5.301158301158301,0.6833976833976834,0.5907335907335908,1.6718146718146718,0.9034749034749034,2.6486486486486487,6.042471042471043
1521000046,2010-07-17,6,"Henry Walker (NYK), Landry Fields (NYK), Toney Douglas (NYK), Trevor Booker (WAS), Cartier Martin (WAS), Lester Hudson (WAS)",1466,425,28495,3802,8423,925,2675,1283,1839,1547,3949,5496,2011,1040,398,1403,2549,9812,2.5934515688949524,5.745566166439291,0.630968622100955,1.824693042291951,0.8751705320600273,1.2544338335607095,1.0552523874488404,2.693724420190996,3.748976807639836,1.3717598908594817,0.7094133697135061,0.27148703956343795,0.9570259208731241,1.7387448840381992,6.693042291950887
1521000047,2010-07-17,5,"Dexter Pittman (MIA), Garret Siler (MIA), Danny Green (CLE), JJ Hickson (CLE), Christian Eyenga (CLE)",1325,967,31812,4393,9819,1597,4038,1409,2113,1589,4549,6138,1724,1117,916,1539,2453,11792,3.3154716981132077,7.410566037735849,1.2052830188679244,3.047547169811321,1.0633962264150942,1.5947169811320754,1.199245283018868,3.433207547169811,4.632452830188679,1.3011320754716982,0.8430188679245283,0.6913207547169812,1.1615094339622642,1.8513207547169812,8.899622641509435
1521000048,2010-07-17,3,"Ed Davis (TOR), Solomon Alabi (TOR), Quincy Pondexter (NOH)",1103,154,19467,2360,4530,211,597,1008,1630,1812,3505,5317,807,475,626,718,2229,5939,2.13961922030825,4.106980961015412,0.1912964641885766,0.5412511332728921,0.9138712601994561,1.4777878513145966,1.642792384406165,3.1776971894832275,4.820489573889392,0.7316409791477788,0.43064369900271987,0.5675430643699003,0.6509519492293744,2.0208522212148687,5.384406165004533
1521000049,2010-07-17,4,"Al-Farouq Aminu (LAC), DeAndre Jordan (LAC), Eric Bledsoe (LAC), Alonzo Gee (SAS)",2861,1990,73565,10229,20400,1578,4753,5254,8132,4923,13817,18740,5871,2622,2287,4514,6010,27290,3.575323313526739,7.1303739951066065,0.5515554002097168,1.6613072352324363,1.8364208318769661,2.8423628102062217,1.7207270185249912,4.829430269136665,6.550157287661657,2.0520796924152394,0.9164627752534079,0.799370849353373,1.577770010485844,2.1006641034603284,9.53862285914016
1521000050,2010-07-17,5,"Donte Greene (SAC), Hassan Whiteside (SAC), DeMarcus Cousins (SAC), Omri Casspi (SAC), James Johnson (CHI)",2519,1267,58890,11147,22939,1288,3934,5779,8324,4337,12724,17061,4516,2067,2663,4480,6332,29361,4.425168717745137,9.106391425168718,0.5113140134974196,1.5617308455736403,2.2941643509329097,3.3044859071059944,1.721714966256451,5.051210797935688,6.77292576419214,1.7927749106788409,0.8205637157602224,1.057165541881699,1.7784835252084161,2.513695911075824,11.655815799920603
1521000051,2010-07-17,6,"Lazar Hayward (MIN), Wayne Ellington (MIN), Dante Cunningham (POR), Luke Babbitt (POR), Armon Johnson (POR), Patty Mills (POR)",2757,617,53486,7340,17213,3331,8717,1724,2182,1370,5104,6474,3590,1524,522,1865,3725,19735,2.6623141095393543,6.243380486035546,1.2081973159231048,3.1617700398984403,0.6253173739571999,0.7914399709829525,0.4969169387014871,1.8512876314834965,2.3482045701849836,1.302140007254262,0.5527747551686616,0.1893362350380849,0.6764599202031193,1.3511062749365252,7.158142908959014
1521000052,2010-07-17,2,"Jordan Crawford (ATL), Jeff Teague (ATL)",1036,696,28289,4744,10887,1031,2976,2746,3266,422,2203,2625,5346,1098,289,2282,1897,13265,4.579150579150579,10.508687258687258,0.9951737451737451,2.8725868725868726,2.6505791505791505,3.1525096525096523,0.40733590733590735,2.1264478764478763,2.5337837837837838,5.16023166023166,1.0598455598455598,0.27895752895752896,2.2027027027027026,1.8310810810810811,12.804054054054054
1521000053,2010-07-18,2,"Christian Eyenga (CLE), Larry Sanders (MIL)",289,131,5685,805,1726,26,99,204,365,506,976,1482,214,189,462,274,751,1840,2.7854671280276815,5.972318339100346,0.08996539792387544,0.34256055363321797,0.7058823529411765,1.2629757785467128,1.7508650519031141,3.3771626297577853,5.1280276816609,0.740484429065744,0.6539792387543253,1.5986159169550174,0.9480968858131488,2.5986159169550174,6.366782006920415
1521000054,2010-07-18,5,"Alonzo Gee (SAS), DeMarre Carroll (MEM), Hasheem Thabeet (MEM), Sam Young (MEM), Greivis Vasquez (MEM)",1639,764,35405,4510,10488,1287,3695,2014,2673,1305,4071,5376,3206,1248,408,1854,3062,12321,2.751677852348993,6.39902379499695,0.785234899328859,2.2544234289200733,1.228798047589994,1.6308724832214765,0.7962172056131788,2.4838316046369737,3.2800488102501526,1.956070774862721,0.7614399023794997,0.24893227577791335,1.13117754728493,1.8682123245881634,7.517388651616839
1521000055,2010-07-18,5,"James Johnson (CHI), Dante Cunningham (POR), Luke Babbitt (POR), Armon Johnson (POR), Patty Mills (POR)",2712,644,52983,7443,16689,2526,6851,2005,2737,1711,5777,7488,4339,1675,1065,2389,4471,19417,2.7444690265486726,6.153761061946903,0.9314159292035398,2.5261799410029497,0.7393067846607669,1.0092182890855457,0.6308997050147492,2.1301622418879056,2.7610619469026547,1.5999262536873156,0.6176253687315634,0.3926991150442478,0.8808997050147492,1.6485988200589972,7.159660766961652
1521000056,2010-07-18,4,"Jordan Crawford (ATL), Jeff Teague (ATL), Lazar Hayward (MIN), Wayne Ellington (MIN)",1802,901,43596,6857,16082,2202,6067,3241,3861,652,3547,4199,6159,1507,358,2744,2774,19157,3.8052164261931187,8.924528301886792,1.2219755826859044,3.366814650388457,1.7985571587125415,2.1426193118756935,0.36182019977802443,1.9683684794672587,2.330188679245283,3.4178690344062153,0.8362930077691454,0.19866814650388456,1.5227524972253053,1.539400665926748,10.630965593784683
1521000057,2010-07-18,4,"Dominique Jones (DAL), Rodrigue Beaubois (DAL), DeMarcus Cousins (SAC), Hassan Whiteside (SAC)",1371,935,35090,7679,15578,520,1622,4509,6420,3368,9193,12561,2749,1269,1935,3131,4054,20387,5.601021152443472,11.36250911743253,0.37928519328956967,1.1830780452224654,3.288840262582057,4.682713347921226,2.4566010211524434,6.705324580598104,9.161925601750546,2.00510576221736,0.925601750547046,1.411378555798687,2.283734500364697,2.9569657184536835,14.870167760758571
1521000058,2010-07-18,2,"Al-Farouq Aminu (LAC), Eric Bledsoe (LAC)",1467,1013,38720,5637,12810,1397,4179,3027,3919,1552,5665,7217,4424,1706,741,2751,2795,15698,3.8425357873210633,8.732106339468302,0.9522835719154737,2.8486707566462166,2.063394683026585,2.6714383094751195,1.0579413769597819,3.861622358554874,4.9195637355146555,3.0156782549420584,1.1629175187457397,0.5051124744376279,1.8752556237218814,1.905248807089298,10.700749829584185
1521300009,2013-07-13,2,"Marcus Morris Sr. (PHX), Thomas Robinson (POR)",981,498,23591,3912,8853,1212,3202,1488,2025,1036,3553,4589,1314,618,301,1092,2008,10524,3.9877675840978593,9.02446483180428,1.235474006116208,3.2640163098878694,1.5168195718654434,2.0642201834862384,1.056065239551478,3.6218144750254844,4.677879714576962,1.3394495412844036,0.6299694189602446,0.3068297655453619,1.1131498470948011,2.046890927624873,10.72782874617737
1521300015,2013-07-14,1,Thomas Robinson (POR),243,12,3148,502,1040,0,5,191,382,420,772,1192,144,120,85,231,422,1195,2.065843621399177,4.279835390946502,0,0.0205761316872428,0.7860082304526749,1.5720164609053497,1.728395061728395,3.1769547325102883,4.905349794238683,0.5925925925925926,0.49382716049382713,0.3497942386831276,0.9506172839506173,1.7366255144032923,4.917695473251029
1521300017,2013-07-14,1,Ish Smith (MIL),684,165,14302,2322,5359,293,899,479,703,253,1524,1777,2837,489,184,904,953,5416,3.3947368421052633,7.834795321637427,0.4283625730994152,1.314327485380117,0.7002923976608187,1.0277777777777777,0.36988304093567254,2.2280701754385963,2.597953216374269,4.14766081871345,0.7149122807017544,0.26900584795321636,1.3216374269005848,1.3932748538011697,7.918128654970761
1521300022,2013-07-15,1,Marcus Morris Sr. (PHX),738,486,20443,3410,7813,1212,3197,1297,1643,616,2781,3397,1170,498,216,861,1586,9329,4.62059620596206,10.586720867208673,1.6422764227642277,4.331978319783198,1.7574525745257452,2.2262872628726287,0.8346883468834688,3.768292682926829,4.602981029810298,1.5853658536585367,0.6747967479674797,0.2926829268292683,1.1666666666666667,2.149051490514905,12.640921409214092
1521300030,2013-07-16,1,Thomas Robinson (POR),243,12,3148,502,1040,0,5,191,382,420,772,1192,144,120,85,231,422,1195,2.065843621399177,4.279835390946502,0,0.0205761316872428,0.7860082304526749,1.5720164609053497,1.728395061728395,3.1769547325102883,4.905349794238683,0.5925925925925926,0.49382716049382713,0.3497942386831276,0.9506172839506173,1.7366255144032923,4.917695473251029
1521300031,2013-07-16,1,Marcus Morris Sr. (PHX),738,486,20443,3410,7813,1212,3197,1297,1643,616,2781,3397,1170,498,216,861,1586,9329,4.62059620596206,10.586720867208673,1.6422764227642277,4.331978319783198,1.7574525745257452,2.2262872628726287,0.8346883468834688,3.768292682926829,4.602981029810298,1.5853658536585367,0.6747967479674797,0.2926829268292683,1.1666666666666667,2.149051490514905,12.640921409214092
1521300037,2013-07-17,1,Thomas Robinson (POR),243,12,3148,502,1040,0,5,191,382,420,772,1192,144,120,85,231,422,1195,2.065843621399177,4.279835390946502,0,0.0205761316872428,0.7860082304526749,1.5720164609053497,1.728395061728395,3.1769547325102883,4.905349794238683,0.5925925925925926,0.49382716049382713,0.3497942386831276,0.9506172839506173,1.7366255144032923,4.917695473251029
1521300042,2013-07-18,1,Dwight Buycks (TOR),49,0,696,115,286,27,73,53,60,18,58,76,83,30,2,61,53,310,2.3469387755102042,5.836734693877551,0.5510204081632653,1.489795918367347,1.0816326530612246,1.2244897959183674,0.3673469387755102,1.183673469387755,1.5510204081632653,1.6938775510204083,0.6122448979591837,0.04081632653061224,1.2448979591836735,1.0816326530612246,6.326530612244898
1521300044,2013-07-18,2,"Thomas Robinson (POR), Marcus Morris Sr. (PHX)",981,498,23591,3912,8853,1212,3202,1488,2025,1036,3553,4589,1314,618,301,1092,2008,10524,3.9877675840978593,9.02446483180428,1.235474006116208,3.2640163098878694,1.5168195718654434,2.0642201834862384,1.056065239551478,3.6218144750254844,4.677879714576962,1.3394495412844036,0.6299694189602446,0.3068297655453619,1.1131498470948011,2.046890927624873,10.72782874617737
1521300056,2013-07-20,2,"Dwight Buycks (TOR), Marcus Morris Sr. (PHX)",787,486,21139,3525,8099,1239,3270,1350,1703,634,2839,3473,1253,528,218,922,1639,9639,4.479034307496823,10.290978398983482,1.5743329097839898,4.155019059720457,1.7153748411689962,2.163913595933926,0.8055908513341804,3.607369758576874,4.412960609911055,1.5921219822109276,0.6709021601016518,0.2770012706480305,1.1715374841168995,2.082592121982211,12.247776365946633
